,Country,Latitude,Longitude,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(MpH),Date
Thompson,CA,55.74,-97.86,8.6,32,20,8.05,1522710000
Thyboron,DK,56.7,8.21,36.45,100,92,13.44,1522711486
Tiarei,PF,-17.53,-149.33,86,62,75,2.24,1522710000
Tigzirt,DZ,36.57,4.2,64.08,46,88,3.6,1522711359
Tiksi,RU,71.64,128.87,6.66,79,68,4.61,1522711314
Tilichiki,RU,60.47,166.1,35.46,93,92,12.88,1522711325
Timbuktu,ML,16.77,-3.01,74.84,33,44,2.37,1522711532
Tobermory,CA,45.25,-81.67,32.67,87,88,10.65,1522711354
Tongchuan,CN,34.9,108.95,46.4,93,0,1.59,1522706400
Tongliao,CN,43.61,122.27,38.48,33,80,14,1522711355
Toppenish,US,46.38,-120.31,55.4,24,40,14.99,1522709580
Torbay,CA,47.66,-52.73,33.8,64,75,16.11,1522710000
Totness,US,33.74,-80.8,80.6,28,75,10.29,1522709760
Touros,BR,-5.2,-35.46,80.69,87,80,10.2,1522711224
Trairi,BR,-3.28,-39.27,81.5,100,76,9.98,1522711417
Traverse City,US,44.76,-85.62,34.9,50,90,3.36,1522708560
Tres Arroyos,AR,-38.38,-60.28,59.45,74,0,4.72,1522711517
Tromso,NO,69.65,18.96,15.8,78,0,3.36,1522709400
Tsuyama,JP,35.14,134.03,55.4,76,75,10.29,1522706400
Tuatapere,NZ,-46.13,167.69,56.03,99,0,21.61,1522711347
Tuktoyaktuk,CA,69.44,-133.03,-1.74,77,75,11.41,1522710000
Tumut,AU,-35.3,148.22,64.08,80,0,3.38,1522711522
Tura,IN,25.52,90.21,63.5,88,0,2.48,1522711060
Turka,UA,49.16,23.03,27.45,81,0,5.28,1522711449
Turukhansk,RU,65.8,87.96,-8.64,81,44,5.61,1522711508
Tuy Hoa,VN,13.08,109.3,71.06,100,80,3.94,1522711318
Uaua,BR,-9.84,-39.48,86.63,39,100,5.84,1522711402
Uberlandia,BR,-18.92,-48.28,67.1,96,80,2.59,1522711291
Ucluelet,CA,48.94,-125.55,46.4,61,75,16.11,1522710000
Udachnyy,RU,66.42,112.4,0.59,60,0,4.94,1522711222
Ulaangom,MN,49.98,92.07,-2.93,60,8,1.7,1522711453
Ulladulla,AU,-35.36,150.48,64.4,88,75,4.7,1522708200
Umba,RU,66.69,34.34,30.06,88,92,17.25,1522711208
Umm Lajj,SA,25.02,37.27,65.39,100,8,0.47,1522711407
Upernavik,GL,72.79,-56.15,14.67,84,0,10.87,1522711188
Ushuaia,AR,-54.81,-68.31,41,93,75,14.99,1522706400
Ust-Kulom,RU,61.69,53.69,28.49,89,92,10.76,1522711358
Utete,TZ,-7.99,38.76,72.72,100,92,0.81,1522711423
Uthal,PK,25.81,66.62,72.95,92,88,3.38,1522711471
Uvat,RU,59.14,68.9,16.25,90,20,5.84,1522711318
Uyuni,BO,-20.46,-66.82,43.25,14,0,8.86,1522711262
Vaini,IN,15.34,74.49,62.73,91,0,2.37,1522711140
Valdosta,US,30.83,-83.28,80.24,42,40,6.62,1522709760
Valparaiso,US,41.47,-87.06,42.8,45,1,9.17,1522710900
Vanavara,RU,60.35,102.28,12.74,71,76,4.72,1522711479
Vanderhoof,CA,54.02,-124.02,29.88,39,32,2.71,1522711336
Vanimo,PG,-2.67,141.3,82.76,100,76,6.85,1522710717
Vao,EE,59.1,26.19,29.97,91,92,14.45,1522710983
Vardo,US,39.62,-77.74,45.5,70,90,4.7,1522709700
Velur,IN,10.64,76.16,76.75,88,40,4.38,1522710000
Venancio Aires,BR,-29.61,-52.19,64.71,100,64,1.48,1522711377
Veraval,FR,49.65,0.71,50.59,93,24,6.93,1522710000
Verkhnyaya Toyma,RU,62.24,45,36.45,92,92,13.44,1522711455
Verkhoturye,RU,58.86,60.81,16.02,74,88,2.37,1522711491
Verkhoyansk,RU,67.55,133.39,18.05,74,44,3.15,1522711461
Vestmanna,FO,62.16,-7.17,30.2,74,88,12.75,1522709400
Vestmannaeyjar,IS,63.44,-20.27,34.7,100,92,11.21,1522711252
Victoria,BN,5.28,115.24,78.01,100,75,0.58,1522710000
Vidisha,IN,23.52,77.8,69.8,36,0,7.85,1522711359
Viedma,AR,-40.81,-62.99,70.79,43,0,10.2,1522711451
Vigeland,NO,58.46,8.52,28.4,86,64,3.36,1522709400
Vikulovo,RU,55.07,40.96,37.85,96,92,16.24,1522711378
Vila,IT,45.18,8.4,48.2,81,40,2.24,1522709400
Vila Franca do Campo,PT,37.72,-25.43,59,67,40,20.8,1522710000
Vila Velha,BR,-3.71,-38.6,78.8,88,20,4.7,1522710000
Villa Bruzual,VE,9.33,-69.12,87.8,66,20,4.05,1522710000
Vilyuysk,RU,63.75,121.63,4.91,52,0,5.73,1522711347
Visby,SE,57.64,18.3,35.6,64,0,6.93,1522709400
Vondrozo,MG,-22.82,47.32,69.21,96,44,2.71,1522711416
Vostok,RU,46.45,135.83,31.41,67,48,6.85,1522711385
Voykove,UA,45.38,36.44,43.56,94,0,20.27,1522711466
Waingapu,ID,-9.65,120.26,78.53,91,20,4.38,1522710872
Waipawa,NZ,-39.94,176.59,71.01,54,24,15.01,1522711356
Wajir,KE,1.75,40.07,70.2,98,80,5.73,1522711325
Walvis Bay,NA,-22.95,14.51,68,88,92,2.24,1522706400
Wanning,AT,48.64,13.53,44.6,65,75,2.24,1522709400
Warmbad,DE,50.67,13.08,43.95,84,0,5.82,1522710000
Waslala,NI,13.33,-85.37,75.83,73,36,3.71,1522711437
Werda,DE,50.44,12.3,41,77,0,5.82,1522710000
West Bay,GB,50.71,-2.76,49.41,93,80,10.29,1522705800
Wewak,PG,-3.55,143.63,81,89,36,2.59,1522711294
Wexford,US,40.63,-80.06,40.24,60,1,4.7,1522709760
Whitehorse,CA,60.72,-135.06,24.8,32,75,12.75,1522710000
Whitianga,NZ,-36.83,175.7,66.15,100,8,2.59,1522711440
Whyalla,AU,-33.04,137.58,62.6,72,0,14.99,1522710000
Willowmore,ZA,-33.3,23.49,52.92,96,68,1.81,1522711433
Winnemucca,US,40.97,-117.74,51.8,20,1,13.87,1522709760
Wufeng,TW,24.63,121.12,69.19,88,20,4.7,1522708200
Wukari,NG,7.87,9.78,82.76,67,24,16.69,1522711373
Xiaoshi,CN,30.59,116.63,64.13,97,80,2.48,1522711466
Xingyi,CN,24.19,102.82,53.96,86,32,2.48,1522711309
Xining,CN,36.62,101.77,26.91,77,0,3.27,1522711396
Xuddur,SO,4.12,43.89,67.55,96,56,2.93,1522711472
Yankton,US,42.87,-97.4,35.6,69,75,11.41,1522709760
Yar-Sale,RU,66.83,70.83,-0.77,68,12,15.79,1522711180
Yarada,IN,17.65,83.27,84.33,94,0,8.63,1522711371
Yarensk,RU,62.17,49.09,32.36,91,92,10.65,1522711430
Yarovoye,RU,52.92,78.56,22.68,91,76,9.42,1522711491
Yatou,CM,3.63,9.81,77,100,75,5.84,1522710000
Yellowknife,CA,62.45,-114.38,6.8,46,20,12.75,1522710000
Yerbogachen,RU,61.28,108.01,13.95,67,56,5.95,1522711523
Ygatimi,PY,-24.08,-55.5,70.7,90,12,1.92,1522711495
Yulara,AU,-25.24,130.99,69.8,46,0,6.93,1522706400
Yumen,CN,40.29,97.04,34.56,34,36,8.86,1522711451
Yuzhnouralsk,RU,54.44,61.27,10.49,66,0,2.93,1522711469
Zarand,IR,30.81,56.57,38.39,33,0,2.04,1522711321
Zhangye,CN,38.94,100.46,30.96,62,0,4.72,1522710894
Zhengjiatun,CN,43.51,123.51,37.98,63,76,13,1522711331
Zhigansk,RU,66.77,123.37,11.43,64,64,8.63,1522711251
