,Name,Country,Latitude,Longitude,Temperature(C),Humidity(%),Cloudiness(%),Wind Speed(MpH),Date
749,Sungaipenuh,ID,-2.08,101.38,19.25,98,64,0.41,1522711784
750,San Lorenzo,PY,-25.34,-57.51,24.0,73,0,2.6,1522710000
751,Strezhevoy,RU,60.73,77.6,-14.0,92,0,5.0,1522710000
752,Acajutla,SV,13.59,-89.83,33.23,55,40,2.1,1522705800
753,Meulaboh,ID,4.14,96.13,25.67,100,0,2.06,1522711787
754,Algiers,US,29.94,-90.04,25.8,78,75,5.7,1522710900
755,Bahia Blanca,AR,-38.72,-62.27,20.5,64,0,2.66,1522711629
756,Pisco,PE,-13.71,-76.2,24.0,64,40,7.7,1522710000
757,Iskateley,RU,67.68,53.15,-11.93,67,44,6.61,1522711485
758,Cerro Largo,BR,-28.15,-54.74,18.87,94,44,0.56,1522711780
759,Palu,ID,-0.9,119.87,21.7,78,20,0.86,1522711780
760,Alta Floresta,BR,-9.87,-56.08,22.22,98,56,0.96,1522711486
761,Thyboron,DK,56.7,8.21,2.47,100,92,6.01,1522711486
762,Tautira,PF,-17.73,-149.15,30.0,62,75,1.0,1522710000
763,Ossora,RU,59.24,163.07,0.35,99,92,7.61,1522711789
764,Khorramshahr,IR,30.43,48.18,18.45,42,0,2.1,1522710000
765,Gari,RU,59.43,62.35,-10.93,69,24,1.46,1522711781
766,Binga,ZW,-17.62,27.34,19.97,100,12,0.61,1522711782
767,Diffa,NE,13.32,12.61,20.92,29,0,2.41,1522711487
768,Pimentel,BR,-3.7,-45.5,22.5,100,92,1.66,1522711790
769,Manadhoo,MV,5.77,73.38,29.22,100,64,2.11,1522711783
770,Colquechaca,BO,-18.7,-66.0,6.42,70,20,0.96,1522711783
771,Auxerre,FR,47.8,3.58,12.0,66,0,3.6,1522710000
772,Ponta Delgada,PT,37.73,-25.67,15.0,67,40,9.3,1522710000
773,Salym,RU,60.06,71.48,-11.51,78,0,2.71,1522711488
774,Khor,RU,47.88,134.96,0.57,74,0,6.21,1522711784
775,Conceicao do Araguaia,BR,-8.26,-49.26,23.55,95,0,1.21,1522711792
776,Gamboma,CG,-1.87,15.88,21.92,96,88,2.56,1522711489
777,Grootfontein,NA,-19.56,18.1,12.92,65,0,2.11,1522711784
778,La Plata,AR,-34.92,-57.95,20.51,77,40,3.6,1522710000
779,Tagaytay,PH,14.12,120.96,27.0,83,40,0.5,1522710000
780,Pascagoula,US,30.37,-88.56,24.0,69,1,4.6,1522709760
781,Birin,SY,35.01,36.67,7.0,83,80,2.11,1522711490
782,Progreso,UY,-34.68,-56.22,20.0,77,75,5.7,1522710000
783,Nuuk,GL,64.17,-51.74,2.0,47,20,6.2,1522709400
784,Dromolaxia,CY,34.88,33.59,14.03,76,0,1.5,1522710000
785,Dicabisagan,PH,17.08,122.42,22.97,100,100,3.21,1522711795
786,Yarovoye,RU,52.92,78.56,-5.18,91,76,4.21,1522711491
787,Sao Felix do Xingu,BR,-6.64,-51.99,25.0,92,76,0.96,1522711787
788,Lima,PE,-12.06,-77.04,17.05,79,36,0.86,1522711663
789,Kieta,PG,-6.22,155.63,27.87,100,36,3.01,1522711788
790,Amambai,BR,-23.11,-55.23,23.3,74,44,2.21,1522711688
791,Verkhoturye,RU,58.86,60.81,-8.88,74,88,1.06,1522711491
792,Manjacaze,MZ,-24.71,33.88,21.37,93,0,2.36,1522711500
793,Shubarkuduk,KZ,49.15,56.49,-2.46,67,0,5.66,1522711788
794,Makakilo City,US,21.35,-158.09,25.01,78,90,6.7,1522710660
795,Malanje,AO,-9.54,16.35,19.17,99,56,1.51,1522711797
796,Samarai,PG,-10.62,150.67,28.2,100,64,3.01,1522711789
797,Krasnyy Chikoy,RU,50.36,108.75,-12.53,57,0,1.06,1522711789
798,Sabzevar,IR,36.21,57.68,6.72,80,0,1.61,1522711494
799,Spasskoye,RU,55.86,45.7,1.17,95,64,6.91,1522711798
800,Exu,BR,-7.52,-39.72,24.0,100,40,3.1,1522706400
801,Koroni,GR,36.8,21.96,9.0,81,0,3.1,1522709400
802,Ygatimi,PY,-24.08,-55.5,21.5,90,12,0.86,1522711495
803,Muscat,OM,23.6,58.55,29.0,26,0,1.0,1522709400
804,Jining,CN,35.41,116.58,20.42,88,0,3.01,1522711799
805,Luganville,VU,-15.51,167.18,26.07,100,92,3.06,1522711800
806,Solnechnyy,RU,50.72,136.64,-2.18,55,24,4.51,1522711495
807,Uyuni,BO,-20.46,-66.82,6.25,14,0,3.96,1522711792
808,Banapur,IN,19.78,85.18,21.5,96,0,0.66,1522711496
809,Puerto Madryn,AR,-42.77,-65.04,23.42,51,0,7.71,1522711792
810,Santa Cruz,US,36.97,-122.03,19.0,72,1,3.6,1522709760
811,Tekeli,KZ,44.86,78.76,-5.81,77,20,0.76,1522711794
812,Corinto,BR,-18.36,-44.46,24.32,70,68,1.51,1522711795
813,Mwene-Ditu,CD,-7.01,23.45,19.17,99,92,2.96,1522711795
814,Trairi,BR,-3.28,-39.27,27.5,100,76,4.46,1522711759
815,Puerto El Triunfo,SV,13.27,-88.55,31.68,66,40,4.6,1522709400
816,Turukhansk,RU,65.8,87.96,-22.58,81,44,2.51,1522711508
817,Tobermory,CA,45.25,-81.67,0.37,87,88,4.76,1522711795
818,Winnemucca,US,40.97,-117.74,11.0,20,1,6.2,1522709760
819,Alindao,CF,5.04,21.21,22.6,96,12,3.56,1522711796
820,Ouegoa,NC,-20.34,164.44,23.8,100,100,5.26,1522711805
821,San Juan de la Vega,MX,20.62,-100.76,28.0,18,75,5.1,1522709040
822,Yatou,CM,3.63,9.81,25.0,100,75,2.61,1522710000
823,Lamas,PE,-6.42,-76.52,24.0,94,40,0.86,1522710000
824,Kodinsk,RU,58.6,99.18,-8.43,84,24,1.76,1522711798
825,Koutsouras,GR,35.03,25.95,15.47,100,0,2.81,1522711807
826,Dehui,CN,44.53,125.71,1.0,24,20,4.0,1522706400
827,Bargur,IN,12.54,78.35,19.72,95,12,1.11,1522711807
828,Kamenka,RU,53.19,44.05,1.6,91,80,7.71,1522711808
829,San Carlos de Bariloche,AR,-41.13,-71.31,22.0,33,0,7.2,1522706400
830,Coloso,CO,9.49,-75.36,27.37,74,0,6.51,1522711800
831,Taoudenni,ML,22.68,-3.98,26.75,18,8,4.31,1522711809
832,Ekibastuz,KZ,51.72,75.32,-6.18,89,80,4.11,1522711801
833,Black River,JM,18.03,-77.85,28.0,61,20,3.1,1522710000
834,Sedhiou,SN,12.71,-15.56,32.0,33,0,1.0,1522706400
835,Hammerfest,NO,70.66,23.68,-4.0,92,75,7.7,1522709400
836,San Rafael,AR,-34.61,-68.33,18.3,52,0,3.26,1522711713
837,Haines Junction,CA,60.75,-137.51,-10.43,68,68,2.86,1522711802
838,Nuevo Emperador,PA,9.0,-79.73,30.0,48,20,5.7,1522710000
839,Malgrat de Mar,ES,41.65,2.74,11.54,100,75,1.0,1522710000
840,Buraydah,SA,26.33,43.97,21.0,64,40,2.1,1522706400
841,Jalu,LY,29.03,21.55,14.05,60,0,3.31,1522711811
842,Erzin,TR,36.95,36.2,13.47,77,40,4.1,1522709400
843,Madimba,CM,4.42,9.93,25.0,100,75,1.31,1522710000
844,Mangan,IN,27.5,88.54,-3.56,76,8,0.96,1522711805
845,Ulladulla,AU,-35.36,150.48,18.0,88,75,2.1,1522708200
846,Adre,TD,13.47,22.2,19.6,20,0,5.01,1522711815
847,Cururupu,BR,-1.82,-44.87,26.55,85,80,3.01,1522711807
848,Imperia,IT,43.88,8.02,10.0,87,40,4.6,1522709700
849,Sainte-Anne-des-Monts,CA,49.13,-66.49,-5.76,100,0,2.41,1522711816
850,Sisimiut,GL,66.94,-53.67,-11.21,73,8,0.96,1522711808
851,Namibe,AO,-15.19,12.15,26.0,100,88,1.36,1522711817
852,Nizhniy Odes,RU,63.64,54.86,-3.91,75,80,3.61,1522711809
853,Bihariganj,IN,25.73,86.98,16.47,91,0,1.26,1522711511
854,Astoria,US,46.19,-123.83,9.0,57,75,6.7,1522709700
855,Sabya,YE,16.19,43.1,19.87,69,8,1.21,1522711809
856,Caledon,ZA,-34.23,19.43,16.55,98,36,2.11,1522711520
857,Tagusao,PH,9.19,117.81,26.17,91,0,2.06,1522711512
858,Sylacauga,US,33.17,-86.25,24.39,50,1,3.6,1522709700
859,Itoman,JP,26.12,127.67,21.0,68,40,4.1,1522709760
860,Alugan,PH,12.22,125.48,27.07,94,80,4.56,1522711810
861,Copiapo,CL,-27.37,-70.33,17.0,67,0,3.6,1522710000
862,Naqadeh,IR,36.96,45.39,4.97,88,0,1.96,1522711810
863,Wufeng,TW,24.63,121.12,20.66,88,20,2.1,1522708200
864,Parana,BR,-7.52,-72.89,26.0,88,75,1.5,1522710000
865,Messina,IT,38.19,15.55,14.0,76,0,1.5,1522709700
866,Yerbogachen,RU,61.28,108.01,-10.03,67,56,2.66,1522711523
867,Bhum,IN,18.47,75.67,20.05,37,0,2.21,1522711820
868,Poso,ID,-1.4,120.75,26.32,100,56,1.26,1522711820
869,Hayden,US,47.77,-116.79,6.59,33,90,3.1,1522709760
870,Araouane,ML,18.9,-3.53,21.8,23,0,1.41,1522711684
871,Tongchuan,CN,34.9,108.95,8.0,93,0,0.71,1522706400
872,Terenos,BR,-20.44,-54.87,21.0,100,40,1.0,1522710000
873,Phangnga,TH,8.45,98.53,24.35,88,20,1.0,1522708200
874,Raudeberg,NO,61.99,5.14,0.0,100,0,3.6,1522709400
875,Mozarlandia,BR,-14.74,-50.57,24.6,82,32,1.16,1522711814
876,Pojuca,BR,-12.42,-38.33,27.0,74,0,4.6,1522710000
877,Tres Arroyos,AR,-38.38,-60.28,15.25,74,0,2.11,1522711517
878,Cochrane,CL,-47.25,-72.57,9.05,89,12,0.91,1522711517
879,Coos Bay,US,43.37,-124.22,9.42,61,75,5.1,1522709760
880,Alice Springs,AU,-23.7,133.88,23.0,38,0,4.6,1522710000
881,Sibu,MY,2.29,111.83,24.0,94,75,1.5,1522710000
882,Olinda,EC,-2.03,-79.75,29.0,66,90,2.6,1522710000
883,Mpanda,TZ,-6.34,31.07,18.1,94,80,1.31,1522711816
884,Sosua,DO,19.77,-70.52,25.46,78,40,2.6,1522710000
885,Micomeseng,GQ,2.15,10.62,22.1,97,88,0.91,1522711528
886,Pyay,MM,18.82,95.22,21.2,96,0,1.36,1522711520
887,Novovasylivka,UA,48.2,37.04,5.45,89,88,5.91,1522711816
888,Telemaco Borba,BR,-24.32,-50.62,16.3,95,36,1.46,1522711816
889,The Valley,AI,18.22,-63.06,25.39,74,20,3.1,1522710000
890,Konibodom,TJ,40.3,70.43,12.0,81,90,4.0,1522708200
891,Miyang,CN,24.4,103.44,12.62,79,24,1.61,1522711825
892,Eirunepe,BR,-6.66,-69.87,25.92,91,64,0.81,1522711817
893,Tumut,AU,-35.3,148.22,17.82,80,0,1.51,1522711826
894,Nyeri,KE,-0.42,36.95,15.25,100,64,1.06,1522711522
895,Kem,UG,2.68,33.77,17.85,97,56,1.46,1522711531
896,Anadyr,RU,64.73,177.51,-5.0,92,75,4.0,1522710000
897,Timbuktu,ML,16.77,-3.01,23.8,33,44,1.06,1522711819
898,Oktyabrskoye,RU,56.73,85.44,-4.93,88,88,2.46,1522711819
899,Panzhihua,CN,26.59,101.72,10.6,56,8,1.01,1522711532
900,Kikwit,CD,-5.04,18.82,22.82,100,92,1.51,1522711820
901,Lira,UG,2.25,32.9,18.47,98,56,1.21,1522711525
902,Invermere,CA,50.51,-116.03,-5.76,44,76,0.91,1522711820
903,Shubarshi,KZ,48.59,57.19,-3.38,75,0,5.76,1522711820
904,Camacha,PT,33.08,-16.33,16.0,82,40,4.6,1522710000
905,Nizwa,OM,22.93,57.53,16.55,49,0,1.21,1522711821
906,Warmbad,DE,50.67,13.08,6.64,84,0,2.6,1522710000
907,Jacmel,HT,18.24,-72.54,27.0,65,40,4.6,1522710000
